Team,Opponent,Year,Date,W/L,W%,SRS,EXP,PTS,REB,AST,STL,BLK,TOV,TS%,3P%
Texas A&M-Corpus Christi,Alabama,2023,2023-03-16,0,-0.147,-25.76,0.24,1.6,2.4,5.2,3.1,1.4,-1.2,0.046,0.041
Texas Christian,Arizona State,2023,2023-03-17,1,-0.021,4.32,-0.30,2.3,-1.1,1.9,1.2,1.1,-0.8,0.014,-0.023
Texas Christian,Gonzaga,2023,2023-03-19,0,-0.212,-3.38,-0.22,-7.9,-0.4,-0.7,-1.1,-1.4,-1.7,-0.047,-0.055
UCLA,North Carolina Asheville,2023,2023-03-16,1,0.059,23.85,-0.65,-4.3,-3.7,-2.9,-3.5,-4.1,0.6,-0.023,-0.013
UCLA,Northwestern,2023,2023-03-18,1,0.197,8.43,-0.46,2.2,-1.0,-0.5,0.9,-0.8,-1.1,0.006,0.000
UCLA,Gonzaga,2023,2023-03-23,0,0.004,3.12,-0.46,-12.4,-4.5,-5.3,-4.8,-5.7,-0.9,-0.051,-0.034
Utah State,Missouri,2023,2023-03-16,0,0.037,2.82,-0.05,-2.6,-3.2,-1.2,-2.9,-1.8,2.4,-0.012,0.012
Vermont,Marquette,2023,2023-03-17,0,-0.127,-15.44,0.69,-5.0,-3.7,-2.2,-1.6,-1.9,2.9,-0.003,0.008
Virginia,Furman,2023,2023-03-16,0,-0.013,8.39,0.31,-11.9,-6.0,-3.3,-4.8,-4.6,1.7,-0.032,0.009
Virginia Commonwealth,Saint Mary's (CA),2023,2023-03-17,0,0.006,-7.52,0.16,1.5,3.7,3.9,3.5,1.9,-3.3,0.001,-0.015
West Virginia,Maryland,2023,2023-03-16,0,-0.061,1.37,-0.09,6.9,4.6,4.7,4.7,3.6,-2.5,0.026,0.020
Xavier,Kennesaw State,2023,2023-03-17,1,-0.029,15.43,-0.19,5.5,4.5,6.4,2.5,2.7,1.3,0.012,0.026
Xavier,Pittsburgh,2023,2023-03-19,1,0.059,5.44,-0.23,5.1,3.7,5.1,2.9,2.2,-0.9,0.015,0.031
Xavier,Texas,2023,2023-03-24,0,-0.029,-4.53,0.10,4.6,4.8,7.2,3.5,3.2,1.6,0.011,0.039
Akron,UCLA,2022,2022-03-17,0,-0.054,-18.39,-0.91,-3.4,-0.1,-0.9,-0.3,-1.0,-0.6,0.013,0.011
Alabama,Notre Dame,2022,2022-03-18,0,-0.103,2.75,-0.39,8.2,7.7,6.3,5.3,5.6,-3.6,0.001,-0.028
Alabama Birmingham,Houston,2022,2022-03-18,0,-0.059,-11.65,0.13,6.7,7.1,5.0,5.8,4.9,-1.0,0.020,0.038
Arizona,Wright State,2022,2022-03-18,1,0.283,24.69,-0.55,2.3,2.0,2.3,-2.2,-0.5,-0.5,-0.016,0.007
Arizona,Texas Christian,2022,2022-03-20,1,0.287,9.03,-0.36,9.3,7.0,4.9,1.4,2.7,0.4,0.019,0.035
Arizona,Houston,2022,2022-03-24,0,0.059,0.20,-0.40,9.3,9.4,9.1,5.1,6.4,-0.5,0.014,0.027
