Team,Opponent,Year,Date,W/L,W%,SRS,EXP,PTS,REB,AST,STL,BLK,TOV,TS%,3PA/FGA,3P%
Utah State,Missouri,2023,2023-03-16,0,0.037,2.82,-0.05,-0.7,5.3,0.8,-5.2,0.6,1.1,0.017,-0.006,0.027
Vermont,Marquette,2023,2023-03-17,0,-0.127,-15.44,0.69,-6.6,-0.5,-3.6,-3.3,-0.1,-1.3,-0.009,0.010,0.005
Virginia,Furman,2023,2023-03-16,0,-0.013,8.39,0.31,-13.1,-2.9,-1.0,0.2,1.1,-2.5,-0.045,-0.107,0.006
Virginia Commonwealth,Saint Mary's (CA),2023,2023-03-17,0,0.006,-7.52,0.16,0.2,-2.1,0.5,2.1,1.1,2.7,0.007,-0.043,-0.017
West Virginia,Maryland,2023,2023-03-16,0,-0.061,1.37,-0.09,6.3,0.3,1.6,1.2,-0.6,2.2,0.014,-0.007,0.022
Xavier,Kennesaw State,2023,2023-03-17,1,-0.029,15.43,-0.19,5.9,2.4,4.8,-1.5,0.5,0.0,0.022,-0.077,0.025
Xavier,Pittsburgh,2023,2023-03-19,1,0.059,5.44,-0.23,5.8,1.6,5.0,1.3,-0.9,1.3,0.015,-0.123,0.030
Xavier,Texas,2023,2023-03-24,0,-0.029,-4.53,0.10,2.9,3.6,2.9,-1.5,-0.4,0.8,0.012,-0.034,0.043
Akron,UCLA,2022,2022-03-17,0,-0.054,-18.39,-0.91,-4.8,-1.7,-2.3,-1.1,-0.1,2.5,0.026,0.103,0.001
Alabama,Notre Dame,2022,2022-03-18,0,-0.103,2.75,-0.39,6.9,5.6,0.7,1.9,2.8,4.1,-0.023,0.054,-0.072
Alabama Birmingham,Houston,2022,2022-03-18,0,-0.059,-11.65,0.13,5.5,-0.7,-3.3,1.5,-1.0,0.4,0.009,-0.056,0.038
Arizona,Wright State,2022,2022-03-18,1,0.283,24.69,-0.55,8.2,6.5,5.5,0.8,2.7,1.2,0.034,0.032,0.019
Arizona,Texas Christian,2022,2022-03-20,1,0.287,9.03,-0.36,15.5,2.4,6.0,0.3,1.6,-1.1,0.072,0.042,0.050
Arizona,Houston,2022,2022-03-24,0,0.059,0.20,-0.40,9.2,2.4,3.4,-1.3,0.5,2.3,0.038,-0.030,0.014
Arkansas,Vermont,2022,2022-03-17,1,-0.091,8.46,-0.47,1.1,2.8,-1.3,2.5,1.6,2.6,-0.061,-0.088,-0.061
Arkansas,New Mexico State,2022,2022-03-19,1,-0.055,9.16,0.07,3.4,-0.4,0.1,2.6,0.0,-1.9,-0.022,-0.083,-0.026
Arkansas,Gonzaga,2022,2022-03-24,1,-0.139,-9.19,0.56,-11.3,-4.1,-4.3,1.2,-1.7,0.6,-0.075,-0.011,-0.066
Arkansas,Duke,2022,2022-03-26,0,-0.066,-3.28,0.50,-4.2,-0.1,-2.7,1.2,-1.5,1.9,-0.051,-0.016,-0.062
Auburn,Jacksonville State,2022,2022-03-18,1,0.166,19.39,-0.05,4.7,3.6,0.4,2.2,5.1,-1.0,-0.038,-0.029,-0.068
Auburn,Miami (FL),2022,2022-03-20,0,0.147,7.98,-0.35,4.3,9.8,0.6,-0.5,4.8,2.6,-0.029,0.043,-0.021
Baylor,Norfolk State,2022,2022-03-17,1,0.013,25.64,-0.43,2.7,-1.3,3.4,2.1,-0.2,-1.6,-0.004,0.027,0.000
Baylor,North Carolina,2022,2022-03-19,0,0.094,6.23,-0.04,-0.9,-4.1,1.0,3.6,-0.5,0.7,0.001,0.003,-0.015
Boise State,Memphis,2022,2022-03-17,0,0.117,-2.74,0.77,-6.9,-4.0,-4.4,-2.4,-2.1,-3.9,-0.020,0.083,-0.009
Cal State Fullerton,Duke,2022,2022-03-18,0,-0.146,-19.59,0.66,-10.1,-4.5,-5.2,0.9,-3.6,1.8,-0.044,-0.058,-0.037
Chattanooga,Illinois,2022,2022-03-18,0,0.084,-10.57,0.26,-0.2,-2.4,-2.4,2.0,-0.9,-1.4,0.006,-0.038,-0.014
Colgate,Wisconsin,2022,2022-03-18,0,-0.098,-12.15,1.01,5.7,1.2,6.0,0.8,0.7,2.6,0.061,0.061,0.098
Colorado State,Michigan,2022,2022-03-17,0,0.285,-2.75,0.36,0.8,-4.0,0.2,1.7,-0.2,-1.5,0.030,0.074,0.018
Connecticut,New Mexico State,2022,2022-03-17,0,-0.094,9.29,-0.20,2.3,2.2,0.3,0.9,2.3,-2.3,-0.021,-0.080,0.022
Creighton,San Diego State,2022,2022-03-17,1,-0.075,-1.79,-0.99,3.8,3.1,1.4,-2.0,-0.5,1.3,0.018,0.074,-0.046
Creighton,Kansas,2022,2022-03-19,0,-0.157,-10.94,-0.78,-9.0,0.2,-2.0,-0.8,0.0,2.0,-0.031,0.050,-0.053
Davidson,Michigan State,2022,2022-03-18,0,0.171,-2.75,0.07,3.2,-2.8,-1.1,-1.1,-2.4,-3.0,0.038,0.075,0.009
Delaware,Villanova,2022,2022-03-18,0,-0.141,-18.99,-0.21,1.7,-2.3,0.7,0.7,1.5,2.7,0.011,-0.075,-0.012
Duke,Cal State Fullerton,2022,2022-03-18,1,0.146,19.59,-0.66,10.1,4.5,5.2,-0.9,3.6,-1.8,0.044,0.058,0.037
Duke,Michigan State,2022,2022-03-20,1,0.176,6.37,-0.23,7.8,1.0,0.8,0.7,0.6,-2.5,0.030,0.020,-0.012
Duke,Texas Tech,2022,2022-03-24,1,0.088,-0.53,-0.74,8.0,1.5,2.8,-1.6,2.1,-3.2,0.026,0.017,0.045
Duke,Arkansas,2022,2022-03-26,1,0.066,3.28,-0.50,4.2,0.1,2.7,-1.2,1.5,-1.9,0.051,0.016,0.062
Duke,North Carolina,2022,2022-04-02,0,0.105,4.05,-0.05,2.2,-3.4,1.6,1.2,1.7,-1.4,0.033,-0.023,0.008
Georgia State,Gonzaga,2022,2022-03-17,0,-0.254,-26.57,0.21,-16.5,-4.5,-4.6,2.4,-1.3,0.1,-0.112,0.018,-0.040
Gonzaga,Georgia State,2022,2022-03-17,1,0.254,26.57,-0.21,16.5,4.5,4.6,-2.4,1.3,-0.1,0.112,-0.018,0.040
Gonzaga,Memphis,2022,2022-03-19,1,0.219,10.79,-0.04,12.0,3.1,2.3,-2.0,0.3,-4.4,0.052,0.048,0.015
Gonzaga,Arkansas,2022,2022-03-24,0,0.139,9.19,-0.56,11.3,4.1,4.3,-1.2,1.7,-0.6,0.075,0.011,0.066
Houston,Alabama Birmingham,2022,2022-03-18,1,0.059,11.65,-0.13,-5.5,0.7,3.3,-1.5,1.0,-0.4,-0.009,0.056,-0.038
Houston,Illinois,2022,2022-03-20,1,0.143,5.86,-0.05,0.4,0.5,1.0,2.8,2.2,-1.3,-0.004,-0.038,-0.021
Houston,Arizona,2022,2022-03-24,1,-0.059,-0.20,0.40,-9.2,-2.4,-3.4,1.3,-0.5,-2.3,-0.038,0.030,-0.014
Houston,Villanova,2022,2022-03-26,0,0.065,3.24,-0.46,3.1,4.2,4.3,2.0,3.0,1.2,-0.009,-0.075,-0.021
Illinois,Chattanooga,2022,2022-03-18,1,-0.084,10.57,-0.26,0.2,2.4,2.4,-2.0,0.9,1.4,-0.006,0.038,0.014
Illinois,Houston,2022,2022-03-20,0,-0.143,-5.86,0.05,-0.4,-0.5,-1.0,-2.8,-2.2,1.3,0.004,0.038,0.021
Indiana,Saint Mary's (CA),2022,2022-03-17,0,-0.164,-2.11,0.09,1.1,2.4,1.1,-1.3,2.3,0.6,-0.017,-0.053,-0.020
Iowa,Richmond,2022,2022-03-17,1,0.086,11.83,-0.82,12.2,5.0,1.5,-0.3,1.9,-0.6,0.022,-0.025,0.034
Iowa State,Louisiana State,2022,2022-03-18,1,-0.042,-5.07,1.18,-7.0,-4.6,2.0,-2.5,-1.2,-0.9,-0.016,0.029,-0.001
